rowid,st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,dens,dens_err1,dens_err2,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,datalink_dvr
105,q1_q17_dr24_stellar,3867615,2MASS J19424826+3856449,295.701111,38.945831,13.358,6053,98,-129,SPE58,4.279,0.109,-0.134,SPE58,0.06,0.1,-0.1,SPE58,1.26,0.244,-0.171,1.1,0.1,-0.08,0.7737,0.3753,-0.2953,DSEP,2,2,2,11111011101110100,2015-01-15,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,102.906,90.829,85.695,79.689,75.808,68.97,66.198,61.915,57.515,53.907,51.566,49.771,49.441,47.745,12.341,0.021,12.092,0.018,12.005,0.018,003/003867/003867615/dv/kplr003867615-20141002224145_dvr.pdf
106,q1_q12_stellar,3939150,2MASS J19061996+3904379,286.58316,39.077202,13.42,6049,101,-101,Pinsonneault,4.233,0.224,-0.224,Pinsonneault,-0.2,0,0,Pinsonneault,1.298,0.548,-0.548,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.288,0.021,12.003,0.022,11.966,0.022,003/003939/003939150/dv/kplr003939150-20121029204534_dvr.pdf
107,q1_q17_dr24_stellar,3939150,2MASS J19061996+3904379,286.58316,39.077202,13.42,5968,124,-115,SPE59,3.972,0.188,-0.102,SPE59,0.04,0.17,-0.17,SPE59,1.857,0.384,-0.443,1.18,0.19,-0.14,0.2594,0.2655,-0.08909,DSEP,2,2,2,11111111111111100,2015-01-15,0.8751,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,95.018,83.373,78.143,72.291,68.735,62.067,59.312,55.314,50.596,47.194,44.701,42.543,41.967,38.848,12.288,0.021,12.003,0.022,11.966,0.022,003/003939/003939150/dv/kplr003939150-20141002224145_dvr.pdf
108,q1_q16_stellar,3939150,2MASS J19061996+3904379,286.58316,39.077202,13.42,5941,121,-113,SPE3,4.032,0.174,-0.129,SPE3,0.04,0.17,-0.14,SPE3,1.692,0.42,-0.363,1.12,0.19,-0.11,0.3271,0.2928,-0.1327,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,84.113,74.785,68.1,62.917,59.011,53.116,50.871,47.055,42.97,40.15,37.617,35.848,35.38,32.762,12.288,0.021,12.003,0.022,11.966,0.022,003/003939/003939150/dv/kplr003939150-20130815195353_dvr.pdf
109,q1_q12_stellar,3942670,2MASS J19115418+3905138,287.975769,39.087181,13.954,5892,109,-109,Pinsonneault,4.273,0.232,-0.232,Pinsonneault,-0.2,0,0,Pinsonneault,1.194,0.497,-0.497,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.786,0.023,12.475,0.022,12.416,0.022,003/003942/003942670/dv/kplr003942670-20121029204534_dvr.pdf
110,q1_q17_dr24_stellar,3942670,2MASS J19115418+3905138,287.975769,39.087181,13.954,6007,108,-123,SPE58,4.178,0.144,-0.147,SPE58,0.07,0.13,-0.13,SPE58,1.42,0.349,-0.245,1.11,0.14,-0.09,0.5452,0.3713,-0.2322,DSEP,2,2,2,11111111111111100,2015-01-15,0.8751,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,128.805,113.434,106.082,97.333,91.992,82.851,79.182,74.051,68.211,63.747,60.315,57.676,56.979,53.477,12.786,0.023,12.475,0.022,12.416,0.022,003/003942/003942670/dv/kplr003942670-20141002224145_dvr.pdf
111,q1_q16_stellar,3942670,2MASS J19115418+3905138,287.975769,39.087181,13.954,6010,104,-124,SPE12,4.279,0.111,-0.129,SPE12,0.08,0.12,-0.14,SPE12,1.26,0.236,-0.175,1.1,0.09,-0.08,0.7755,0.3839,-0.2885,DSEP,2,2,2,11111111111111100,2013-12-03,0.8793,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,116.537,103.939,94.178,87.177,81.78,74.036,71.095,66.025,60.329,56.522,53.842,51.519,50.781,47.103,12.786,0.023,12.475,0.022,12.416,0.022,003/003942/003942670/dv/kplr003942670-20130815195353_dvr.pdf
112,q1_q17_dr24_stellar,3962243,2MASS J19341635+3902107,293.568146,39.03632,15.368,6102,157,-224,PHO1,4.457,0.047,-0.296,KIC0,0,0.2,-0.3,KIC0,1.026,0.449,-0.097,1.1,0.22,-0.14,1.433,0.3282,-0.9233,DSEP,3,3,3,11111011101110100,2015-01-15,0.6989,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,349.09,306.225,286.078,262.432,246.578,219.758,208.646,192.29,173.993,159.107,147.302,137.794,135.259,122.433,14.234,0.026,13.867,0.028,13.838,0.053,003/003962/003962243/dv/kplr003962243-20141002224145_dvr.pdf
113,q1_q16_stellar,3962243,2MASS J19341635+3902107,293.568146,39.03632,15.368,6102,157,-224,PHO1,4.457,0.047,-0.296,KIC0,0,0.2,-0.3,KIC0,1.026,0.449,-0.097,1.1,0.22,-0.14,1.433,0.3282,-0.9233,DSEP,3,3,3,11111011101110100,2013-12-03,0.6987,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,329.637,291.283,262.383,240.975,224.318,200.148,190.424,175.347,157.595,144.54,134.352,126.096,123.575,112.318,14.234,0.026,13.867,0.028,13.838,0.053,003/003962/003962243/dv/kplr003962243-20130815195353_dvr.pdf
114,q1_q12_stellar,3962243,2MASS J19341635+3902107,293.568146,39.03632,15.368,6049,161,-161,Pinsonneault,4.5,0.234,-0.234,Pinsonneault,-0.2,0,0,Pinsonneault,0.955,0.504,-0.504,,,,,,,,3,3,3,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.234,0.026,13.867,0.028,13.838,0.053,003/003962/003962243/dv/kplr003962243-20121029204534_dvr.pdf
115,q1_q16_stellar,3967760,2MASS J19394653+3901554,294.943878,39.032059,15.377,5497,160,-147,PHO1,4.486,0.052,-0.258,KIC0,0.26,0.16,-0.24,KIC0,0.936,0.339,-0.082,0.98,0.08,-0.08,1.678,0.3893,-0.9968,DSEP,2,2,2,11111011101110100,2013-12-03,0.6987,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,381.728,343.598,316.714,296.712,280.775,259.486,251.394,239.273,226.214,220.427,217.871,215.523,215.316,217.322,14.095,0.025,13.722,0.029,13.668,0.046,003/003967/003967760/dv/kplr003967760-20130815195353_dvr.pdf
116,q1_q12_stellar,3967760,2MASS J19394653+3901554,294.943878,39.032059,15.377,5374,111,-111,Pinsonneault,4.484,0.285,-0.285,Pinsonneault,-0.2,0,0,Pinsonneault,0.856,0.464,-0.464,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.095,0.025,13.722,0.029,13.668,0.046,003/003967/003967760/dv/kplr003967760-20121029204534_dvr.pdf
117,q1_q17_dr24_stellar,3967760,2MASS J19394653+3901554,294.943878,39.032059,15.377,5497,160,-147,PHO1,4.486,0.052,-0.258,KIC0,0.26,0.16,-0.24,KIC0,0.936,0.339,-0.082,0.98,0.08,-0.08,1.678,0.3893,-0.9968,DSEP,2,2,2,11111011101110100,2015-01-15,0.699,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,415.695,374.185,354.758,332.027,318.511,295.091,286.612,276.425,262.954,255.336,249.44,245.797,245.717,246.962,14.095,0.025,13.722,0.029,13.668,0.046,003/003967/003967760/dv/kplr003967760-20141002224145_dvr.pdf
118,q1_q12_stellar,4077526,2MASS J19452607+3906546,296.358673,39.115189,14.82,6082,144,-144,Pinsonneault,4.38,0.209,-0.209,Pinsonneault,-0.2,0,0,Pinsonneault,1.089,0.465,-0.465,,,,,,,,3,4,4,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.643,0.023,13.382,0.025,13.283,0.032,004/004077/004077526/dv/kplr004077526-20121029204534_dvr.pdf
119,q1_q16_stellar,4077526,2MASS J19452607+3906546,296.358673,39.115189,14.82,6100,165,-211,PHO1,4.376,0.091,-0.282,KIC0,-0.12,0.24,-0.3,KIC0,1.083,0.48,-0.134,1.02,0.2,-0.12,1.126,0.4531,-0.7148,DSEP,3,4,4,11111011101110100,2013-12-03,0.6987,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,247.955,220.451,201.345,186.776,175.088,157.97,151.48,142.209,132.034,125.633,120.068,114.78,113.254,107.042,13.643,0.023,13.382,0.025,13.283,0.032,004/004077/004077526/dv/kplr004077526-20130815195353_dvr.pdf
120,q1_q17_dr24_stellar,4077526,2MASS J19452607+3906546,296.358673,39.115189,14.82,6100,165,-211,PHO1,4.376,0.091,-0.282,KIC0,-0.12,0.24,-0.3,KIC0,1.083,0.48,-0.134,1.02,0.2,-0.12,1.126,0.4531,-0.7148,DSEP,3,4,4,11111011101110100,2015-01-15,0.6989,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,269.305,238.857,224.978,209.113,198.449,180.38,173,162.245,150.331,141.12,134.643,129.518,128.421,122.327,13.643,0.023,13.382,0.025,13.283,0.032,004/004077/004077526/dv/kplr004077526-20141002224145_dvr.pdf
121,q1_q12_stellar,4138008,2MASS J19012797+3916482,285.366577,39.280079,14.976,4598,61,-61,Pinsonneault,4.664,0.017,-0.017,Pinsonneault,-0.2,0,0,Pinsonneault,0.621,0.014,-0.014,,,,,,,,1,1,1,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.233,0.022,12.581,0.019,12.488,0.022,004/004138/004138008/dv/kplr004138008-20121029204534_dvr.pdf
122,q1_q16_stellar,4138008,2MASS J19012797+3916482,285.366577,39.280079,14.976,4569,141,-124,PHO1,4.615,0.053,-0.032,KIC0,-0.28,0.35,-0.3,KIC0,0.653,0.06,-0.062,0.64,0.07,-0.05,3.239,0.8091,-0.4756,DSEP,1,1,1,11111111111111100,2013-12-03,0.8791,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,232.354,205.363,186.689,173.118,161.776,145.713,139.818,129.322,118.682,110.827,104.744,99.838,98.044,91.341,13.233,0.022,12.581,0.019,12.488,0.022,004/004138/004138008/dv/kplr004138008-20130815195353_dvr.pdf
123,q1_q17_dr24_stellar,4138008,2MASS J19012797+3916482,285.366577,39.280079,14.976,4408,82,-93,SPE57,4.65,0.014,-0.043,SPE57,-0.02,0.16,-0.16,SPE57,0.65,0.037,-0.023,0.69,0.03,-0.04,3.525,0.2348,-0.4857,DSEP,1,1,1,11111111111111100,2015-01-15,0.875,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,247.568,216.908,203.352,187.048,176.982,159.238,151.673,141.216,129.778,121.835,115.184,110.735,109.193,102.172,13.233,0.022,12.581,0.019,12.488,0.022,004/004138/004138008/dv/kplr004138008-20141002224145_dvr.pdf
124,q1_q16_stellar,4139816,2MASS J19041898+3916419,286.079132,39.27832,15.954,3887,188,-78,SPE5,4.783,0.087,-0.087,SPE5,-0.36,0.12,-0.12,SPE5,0.48,0.07,-0.07,0.51,0.07,-0.07,6.495,2.978,-2.978,DSEP5,4,4,4,11111111111111100,2013-12-03,0.8792,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,484.519,429.932,390.558,362.398,339.615,307.858,295.121,275.456,254.703,238.333,226.079,218.063,216.117,203.478,13.952,0.026,13.278,0.023,13.116,0.03,004/004139/004139816/dv/kplr004139816-20130815195353_dvr.pdf
125,q1_q12_stellar,4139816,2MASS J19041898+3916419,286.079132,39.27832,15.954,4244,87,-87,Pinsonneault,4.718,0.013,-0.013,Pinsonneault,-0.2,0,0,Pinsonneault,0.552,0.014,-0.014,,,,,,,,4,4,4,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.952,0.026,13.278,0.023,13.116,0.03,004/004139/004139816/dv/kplr004139816-20121029204534_dvr.pdf
126,q1_q17_dr24_stellar,4139816,2MASS J19041898+3916419,286.079132,39.27832,15.954,3992,79,-75,SPE60,4.756,0.051,-0.025,SPE60,-0.5,0.12,-0.12,SPE60,0.494,0.026,-0.044,0.51,0.03,-0.03,5.931,1.325,-0.6237,DSEP,4,4,4,11111111111111100,2015-01-15,0.8754,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,494.281,436.842,409.804,379.876,361.183,325.747,310.731,288.858,265.543,247.999,234.007,224.26,221.208,206.802,13.952,0.026,13.278,0.023,13.116,0.03,004/004139/004139816/dv/kplr004139816-20141002224145_dvr.pdf
127,q1_q12_stellar,4157325,2MASS J19261367+3913382,291.556946,39.227291,14.028,5708,,,KIC,4.369,,,KIC,-0.092,,,KIC,1.125,,,,,,,,,,2,4,3,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.874,0.025,12.576,0.025,12.51,0.027,004/004157/004157325/dv/kplr004157325-20121029204534_dvr.pdf
128,q1_q16_stellar,4157325,2MASS J19261367+3913382,291.556946,39.227291,14.028,5977,177,-213,KIC0,4.375,0.1,-0.266,KIC0,-0.1,0.24,-0.28,KIC0,1.075,0.431,-0.144,1,0.17,-0.12,1.133,0.5089,-0.6924,DSEP,2,4,4,11111111111111,2013-12-03,0.8786,1205.833,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,152.41,138.958,128.683,121.85,116.267,108.312,105.529,101.06,96.229,92.733,90.095,88.86,88.467,87.071,12.874,0.025,12.576,0.025,12.51,0.027,004/004157/004157325/dv/kplr004157325-20130815195353_dvr.pdf
129,q1_q17_dr24_stellar,4157325,2MASS J19261367+3913382,291.556946,39.227291,14.028,5670,104,-107,SPE58,4.397,0.087,-0.139,SPE58,0.06,0.12,-0.12,SPE58,1.022,0.183,-0.098,0.95,0.06,-0.06,1.254,0.4339,-0.4818,DSEP,2,4,4,11111111111111,2015-01-15,0.8745,1238.431,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,168.512,152.414,146.204,138.316,133.756,124.792,120.769,115.464,110.016,106.034,103.279,101.003,100.625,100.029,12.874,0.025,12.576,0.025,12.51,0.027,004/004157/004157325/dv/kplr004157325-20141002224145_dvr.pdf
130,q1_q17_dr24_stellar,4249725,2MASS J19113399+3920208,287.891632,39.33913,14.735,4096,538,-187,SPE5,4.697,0.095,-0.095,SPE5,-0.17,0.11,-0.11,SPE5,0.57,0.09,-0.09,0.59,0.09,-0.09,4.487,2.233,-2.233,DSEP5,2,2,2,11111111111111100,2015-01-15,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,217.582,195.349,186.015,173.684,166.822,153.287,147.578,139.218,130.231,123.302,119.678,115.975,115.025,109.926,13.019,0.023,12.418,0.025,12.307,0.024,004/004249/004249725/dv/kplr004249725-20141002224145_dvr.pdf
131,q1_q12_stellar,4249725,2MASS J19113399+3920208,287.891632,39.33913,14.735,4533,57,-57,Pinsonneault,4.709,0.016,-0.016,Pinsonneault,-0.2,0,0,Pinsonneault,0.592,0.013,-0.013,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.019,0.023,12.418,0.025,12.307,0.024,004/004249/004249725/dv/kplr004249725-20121029204534_dvr.pdf
132,q1_q16_stellar,4249725,2MASS J19113399+3920208,287.891632,39.33913,14.735,4096,538,-187,SPE5,4.697,0.095,-0.095,SPE5,-0.17,0.11,-0.11,SPE5,0.57,0.09,-0.09,0.59,0.09,-0.09,4.487,2.233,-2.233,DSEP5,2,2,2,11111111111111100,2013-12-03,0.8792,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,200.582,181.074,167.28,157.155,148.486,136.4,131.576,124.264,116.486,110.8,106.452,103.336,102.488,97.817,13.019,0.023,12.418,0.025,12.307,0.024,004/004249/004249725/dv/kplr004249725-20130815195353_dvr.pdf
133,q1_q12_stellar,4263293,2MASS J19272023+3918264,291.83432,39.307362,15.862,4496,60,-60,Pinsonneault,4.727,0.016,-0.016,Pinsonneault,-0.2,0,0,Pinsonneault,0.579,0.013,-0.013,,,,,,,,3,3,3,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.082,0.03,13.512,0.033,13.343,0.035,004/004263/004263293/dv/kplr004263293-20121029204534_dvr.pdf
134,q1_q17_dr24_stellar,4263293,2MASS J19272023+3918264,291.83432,39.307362,15.862,4345,133,-143,PHO1,4.733,0.046,-0.044,KIC0,-0.86,0.28,-0.3,KIC0,0.521,0.044,-0.044,0.54,0.04,-0.04,5.328,1.139,-0.8831,DSEP,3,3,3,11111111111111100,2015-01-15,0.8753,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,516.639,467.053,447.747,422.372,409.683,382.223,371.164,358.222,348.532,343.151,346.64,350.713,353.669,374.776,14.082,0.03,13.512,0.033,13.343,0.035,004/004263/004263293/dv/kplr004263293-20141002224145_dvr.pdf
135,q1_q16_stellar,4263293,2MASS J19272023+3918264,291.83432,39.307362,15.862,4345,133,-143,PHO1,4.733,0.046,-0.044,KIC0,-0.86,0.28,-0.3,KIC0,0.521,0.044,-0.044,0.53,0.04,-0.04,5.328,1.139,-0.8831,DSEP,3,3,3,11111111111111100,2013-12-03,0.8792,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,507.904,461.463,428.906,407.151,391.16,366.155,357.762,346.11,335.485,330.9,333.345,335.377,336.551,344.236,14.082,0.03,13.512,0.033,13.343,0.035,004/004263/004263293/dv/kplr004263293-20130815195353_dvr.pdf
136,q1_q12_stellar,4270253,2MASS J19340740+3918572,293.530853,39.315891,14.943,5841,113,-113,Pinsonneault,4.542,0.209,-0.209,Pinsonneault,-0.2,0,0,Pinsonneault,0.882,0.35,-0.35,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.726,0.026,13.384,0.024,13.308,0.039,004/004270/004270253/dv/kplr004270253-20121029204534_dvr.pdf
137,q1_q17_dr24_stellar,4270253,2MASS J19340740+3918572,293.530853,39.315891,14.943,5888,159,-194,PHO1,4.504,0.038,-0.278,KIC0,0.02,0.19,-0.3,KIC0,0.944,0.357,-0.081,1.04,0.13,-0.13,1.736,0.3351,-1.069,DSEP,2,2,2,11111011101110100,2015-01-15,0.6987,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,233.163,205.06,191.574,175.847,166.188,149.338,142.302,131.337,118.009,109.432,102.804,97.407,95.932,87.717,13.726,0.026,13.384,0.024,13.308,0.039,004/004270/004270253/dv/kplr004270253-20141002224145_dvr.pdf
138,q1_q16_stellar,4270253,2MASS J19340740+3918572,293.530853,39.315891,14.943,5888,159,-194,PHO1,4.504,0.038,-0.278,KIC0,0.02,0.19,-0.3,KIC0,0.944,0.357,-0.081,1.04,0.13,-0.13,1.736,0.3351,-1.069,DSEP,2,2,2,11111011101110100,2013-12-03,0.6986,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,212.88,188.776,170.909,157.934,147.156,131.705,125.683,116.457,105.609,97.982,92.427,87.867,86.715,80.488,13.726,0.026,13.384,0.024,13.308,0.039,004/004270/004270253/dv/kplr004270253-20130815195353_dvr.pdf
139,q1_q12_stellar,4349452,2MASS J19063321+3929164,286.638397,39.487881,10.734,5780,,,Solar,4.438,,,Solar,0,,,Solar,1,,,,,,,,,,3,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.764,0.02,9.532,0.02,9.493,0.017,004/004349/004349452/dv/kplr004349452-20121029204534_dvr.pdf
140,q1_q17_dr24_stellar,4349452,2MASS J19063321+3929164,286.638397,39.487881,10.734,6270,79,-79,SPE8,4.279,0.009,-0.009,AST8,-0.04,0.101,-0.101,SPE8,1.309,0.023,-0.023,1.19,0.06,-0.06,0.7453,0.0086,-0.0086,MULT8,3,2,3,11111111111111100,2015-01-15,0.8749,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,31.069,28.275,27.456,26.042,25.229,23.699,23.132,22.284,21.223,20.497,20.158,19.937,19.868,19.802,9.764,0.02,9.532,0.02,9.493,0.017,004/004349/004349452/dv/kplr004349452-20141002224145_dvr.pdf
141,q1_q16_stellar,4349452,2MASS J19063321+3929164,286.638397,39.487881,10.734,6270,79,-79,SPE8,4.279,0.009,-0.009,AST8,-0.04,0.101,-0.101,SPE8,1.309,0.023,-0.023,1.19,0.06,-0.06,0.7453,0.0086,-0.0086,MULT8,3,2,2,11111111111111100,2013-12-03,0.8788,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,27.242,24.952,23.233,22.041,21.045,19.72,19.258,18.553,17.764,17.195,16.941,16.737,16.695,16.445,9.764,0.02,9.532,0.02,9.493,0.017,004/004349/004349452/dv/kplr004349452-20130815195353_dvr.pdf
142,q1_q12_stellar,4455231,2MASS J19153994+3935409,288.916443,39.594711,15.151,5661,,,KIC,4.35,,,KIC,-0.219,,,KIC,1.15,,,,,,,,,,3,3,3,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.027,13.662,0.031,13.587,0.042,004/004455/004455231/dv/kplr004455231-20121029204534_dvr.pdf
143,q1_q16_stellar,4455231,2MASS J19153994+3935409,288.916443,39.594711,15.151,5918,185,-193,KIC0,4.349,0.131,-0.239,KIC0,-0.22,0.29,-0.28,KIC0,1.068,0.378,-0.167,0.93,0.14,-0.09,1.076,0.6369,-0.6164,DSEP,3,3,3,11111111111111,2013-12-03,0.8788,1205.833,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,239.4,211.756,192.712,178.282,167.106,151.37,144.971,134.388,123.085,114.521,107.802,103.254,101.87,95.513,14,0.027,13.662,0.031,13.587,0.042,004/004455/004455231/dv/kplr004455231-20130815195353_dvr.pdf
144,q1_q17_dr24_stellar,4455231,2MASS J19153994+3935409,288.916443,39.594711,15.151,5918,185,-193,KIC0,4.349,0.131,-0.239,KIC0,-0.22,0.29,-0.28,KIC0,1.068,0.378,-0.167,0.93,0.14,-0.09,1.076,0.6369,-0.6164,DSEP,3,3,3,11111111111111,2015-01-15,0.8745,1238.431,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,262.165,230.196,215.488,197.625,186.134,167.57,160.16,149.214,136.731,126.899,120.184,114.87,113.67,107.275,14,0.027,13.662,0.031,13.587,0.042,004/004455/004455231/dv/kplr004455231-20141002224145_dvr.pdf
145,q1_q17_dr24_stellar,4545187,2MASS J19043889+3940407,286.162048,39.678001,14.708,5316,167,-143,PHO1,4.613,0.032,-0.122,KIC0,-0.38,0.38,-0.28,KIC0,0.719,0.157,-0.053,0.77,0.11,-0.08,2.933,0.4654,-1.104,DSEP,2,2,2,11111111111111100,2015-01-15,0.875,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,196.01,174.099,164.055,151.937,143.936,130.786,125.054,116.696,107.494,100.131,95.104,91.301,90.232,84.996,13.32,0.025,12.886,0.023,12.796,0.022,004/004545/004545187/dv/kplr004545187-20141002224145_dvr.pdf
146,q1_q12_stellar,4545187,2MASS J19043889+3940407,286.162048,39.678001,14.708,5349,72,-72,Pinsonneault,4.617,0.144,-0.144,Pinsonneault,-0.2,0,0,Pinsonneault,0.754,0.211,-0.211,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32,0.025,12.886,0.023,12.796,0.022,004/004545/004545187/dv/kplr004545187-20121029204534_dvr.pdf
147,q1_q16_stellar,4545187,2MASS J19043889+3940407,286.162048,39.678001,14.708,5316,167,-143,PHO1,4.613,0.032,-0.122,KIC0,-0.38,0.38,-0.28,KIC0,0.719,0.157,-0.053,0.77,0.11,-0.08,2.933,0.4654,-1.104,DSEP,2,2,2,11111111111111100,2013-12-03,0.8791,1426.742,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,177.927,158.336,143.991,133.842,125.456,113.399,108.51,100.985,93.001,87.02,82.677,79.301,78.444,73.926,13.32,0.025,12.886,0.023,12.796,0.022,004/004545/004545187/dv/kplr004545187-20130815195353_dvr.pdf
148,q1_q16_stellar,4570949,2MASS J19364610+3937084,294.192108,39.618999,13.308,6308,105,-143,SPE52,4.188,0.16,-0.146,SPE52,-0.1,0.12,-0.16,SPE52,1.444,0.324,-0.298,1.17,0.12,-0.13,0.5477,0.4451,-0.227,DSEP,1,1,4,11111011101110100,2013-12-03,0.6984,1426.742,7.1,7.1,7.1,7.1,7.1,16.205,16.138,7.1,12.122,10.73,7.29,7.182,7.1,7.1,78.559,70.957,65.842,62.494,59.531,55.897,54.46,52.628,50.854,49.832,48.874,48.351,48.147,47.631,12.343,0.022,12.134,0.021,12.092,0.021,004/004570/004570949/dv/kplr004570949-20130815195353_dvr.pdf
149,q1_q17_dr24_stellar,4570949,2MASS J19364610+3937084,294.192108,39.618999,13.308,6308,105,-143,SPE52,4.188,0.16,-0.146,SPE52,-0.1,0.12,-0.16,SPE52,1.444,0.324,-0.298,1.17,0.12,-0.13,0.5477,0.4451,-0.227,DSEP,1,1,4,11111011101110100,2015-01-15,0.6985,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,85.05,76.1,72.788,68.413,65.974,60.915,58.899,56.155,53.477,51.655,50.632,50.061,49.932,49.106,12.343,0.022,12.134,0.021,12.092,0.021,004/004570/004570949/dv/kplr004570949-20141002224145_dvr.pdf
